Feature ID	Taxon	Confidence
410648be6de44a5a6cef7c3c7a02ff9c	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__	0.803903609987764
359b73042fa4f9055f8833edf3eb429e	k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae; g__Fusobacterium; s__	0.999714227495244
baf3348c1dfd3b69c83edb13c699c07e	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__	0.8723250974399066
b3cdfd0153ee2843965bbbb8375560ef	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__	0.9309524426048457
9600a14c9b03c504227d4cf6a5afd153	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__	0.9953237948742648
ef2a3e8a8e698f436a9d4d066e294908	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__	0.9239667615957514
4c219022546aa8626c9442c0bcdd69e7	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales	0.9984297549628576
890917b35e55837433a38e2a53feb297	k__Bacteria; p__TM7; c__TM7-3; o__Blgi18; f__; g__; s__	0.9522630300930875
6d69f115b73421548dd9b630a8c19e96	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__	0.9853132149054236
a439e96c6accdb7ceb2e2127b417cbfb	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__	0.9622099675335813
6a56b8c4d11f536fd7cec3bcd7614040	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__; s__	0.8293987149292154
71735e1ad3912f5ed93046abebc01ec3	k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Leptotrichiaceae; g__Leptotrichia; s__	0.9969308064872836
ac60601a614483b8613140579377aaea	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Mogibacteriaceae]; g__; s__	0.9887267680426264
15626d33a8fdc24d16a50aa3176169dc	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__	0.9227796353968547
